Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier
Amazon Forest,Grimer,88,1,1,1,10,14,Black Sludge,0,Common
Amazon Forest,Koffing,109,1,1,1,10,14,Smoke Ball,0,Common
Amazon Forest,Pichu,172,1,1,1,10,14,Colbur Berry,1,Rare
Amazon Forest,Rattata,19,1,1,0,10,14,,0,Common
Amazon Forest,Smeargle,235,1,1,0,10,14,,0,Rare
Amazon Forest,Tyrogue,236,1,1,1,10,14,,0,Rare
Amazon Forest Entrance,Aipom,190,1,1,1,10,14,,0,Uncommon
Amazon Forest Entrance,Arbok,24,1,1,0,10,14,Poison Barb,0,Common
Amazon Forest Entrance,Ekans,23,1,1,0,10,14,,0,Common
Amazon Forest Entrance,Rattata,19,1,1,1,10,14,,0,Common
Amity Square,Beedrill,15,1,1,1,17,20,,0,Uncommon
Amity Square,Beedrill,15,1,1,1,17,20,,0,Uncommon
Amity Square,Bidoof,399,1,1,1,17,20,,0,Common
Amity Square,Bidoof,399,1,1,1,17,20,,0,Common
Amity Square,Buneary,427,1,1,1,21,24,,0,Uncommon
Amity Square,Drifloon,425,1,1,1,17,20,,0,Rare
Amity Square,Jigglypuff,39,1,1,1,17,20,,0,Common
Amity Square,Kricketune,402,1,1,1,17,20,,0,Uncommon
Amity Square,Kricketune,402,1,1,1,17,20,,0,Uncommon
Amity Square,Pachirisu,417,1,1,1,17,20,,0,Rare
Amity Square,Shroomish,285,1,1,1,21,24,,0,Rare
Amity Square,Skitty,300,1,1,1,17,20,,0,Uncommon
Amity Square,Staravia,397,1,1,1,17,20,,0,Uncommon
Amity Square,Staravia,397,1,1,1,17,20,,0,Uncommon
Amity Square,Starly,396,1,1,1,17,20,,0,Common
Amity Square,Starly,396,1,1,1,17,20,,0,Common
Angel Hill,Chingling,433,1,1,1,20,22,Colbur Berry,0,Uncommon
Angel Hill,Farfetchd,83,1,1,1,20,24,Stick,0,Uncommon
Angel Hill,Gastly,92,1,1,1,10,11,,0,Common
Angel Hill,Gothita,574,1,1,1,20,24,Persim Berry,0,Rare
Angel Hill,Growlithe,58,1,1,1,20,22,Rawst Berry,0,Common
Angel Hill,Ponyta,77,1,1,1,20,22,,0,Uncommon
Angel Hill,Ralts,280,1,1,1,20,24,Dawn Stone,0,Rare
Angel Hill,Spinarak,167,1,1,1,20,24,Tamato Berry,0,Common
Angel Hill,Togepi,175,1,1,1,20,24,Shiny Stone,0,Rare
Aphrodia Island East,Bidoof,399,1,1,1,23,28,,0,Common
Aphrodia Island East,Clefairy,35,1,1,1,30,35,Moon Stone,0,Common
Aphrodia Island East,Minun,312,1,1,1,30,35,,0,Uncommon
Aphrodia Island East,Nidoran M,32,1,1,1,30,35,,0,Common
Aphrodia Island East,Sawk,539,1,1,1,30,35,Black Belt,0,Rare
Aphrodia Island East,Shroomish,285,1,1,1,30,35,Kebia Berry,0,Uncommon
Aphrodia Island East,Swablu,333,1,1,1,17,22,,0,Rare
Aphrodia Island East,Volbeat,313,1,1,1,30,35,Figy Berry,0,Uncommon
Aphrodia Island West,Bidoof,399,1,1,1,23,28,,0,Common
Aphrodia Island West,Budew,406,1,1,1,30,35,Poison Barb,0,Uncommon
Aphrodia Island West,Clefairy,35,1,1,1,30,35,Moon Stone,0,Common
Aphrodia Island West,Illumise,314,1,1,1,30,35,Wiki Berry,0,Uncommon
Aphrodia Island West,Mawile,303,1,1,1,30,35,Iron Ball,0,Rare
Aphrodia Island West,Nidoran F,29,1,1,1,30,35,,0,Common
Aphrodia Island West,Plusle,311,1,1,1,30,35,,0,Uncommon
Aphrodia Island West,Throh,538,1,1,1,30,35,Black Belt,0,Rare
Bell Tower,Ariados,168,1,0,1,14,17,SilverPowder,0,Uncommon
Bell Tower,Gastly,92,1,1,1,14,17,,0,Uncommon
Bell Tower,Haunter,93,1,1,1,14,17,Spell Tag,0,Uncommon
Bell Tower,Hoothoot,163,0,0,1,14,17,,0,Common
Bell Tower,Noctowl,164,0,0,1,14,17,,0,Common
Bell Tower,Shuppet,353,1,1,1,14,17,Spell Tag,0,Uncommon
Bell Tower,Spinarak,167,1,0,1,14,17,,0,Common
Berry Forest,Bellsprout,69,1,1,0,45,50,Awakening,0,Common
Berry Forest,Drowzee,96,1,0,1,45,50,Sun Stone,0,Common
Berry Forest,Exeggcute,102,1,1,1,45,50,Sun Stone,0,Uncommon
Berry Forest,Gloom,44,0,0,1,45,50,Sun Stone,0,Common
Berry Forest,Hypno,97,0,0,1,45,50,Sun Stone,0,Uncommon
Berry Forest,Oddish,43,0,0,1,45,50,Sun Stone,0,Common
Berry Forest,Petilil,548,1,1,0,51,56,,1,Rare
Berry Forest,Slowpoke,79,1,1,1,45,50,Lagging Tail,0,Common
Berry Forest,Weepinbell,70,1,1,1,45,50,Sun Stone,0,Common
Bittersweet Cave 1F,Buneary,427,1,1,1,10,11,Chople Berry,0,Uncommon
Bittersweet Cave 1F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon
Bittersweet Cave 1F,Diglett,50,1,1,1,20,24,Soft Sand,0,Common
Bittersweet Cave 1F,Gastly,92,1,1,1,10,11,,0,Common
Bittersweet Cave 1F,Machop,66,1,1,1,20,24,Payapa Berry,0,Common
Bittersweet Cave 1F,Mime Jr.,439,1,1,1,20,24,Leppa Berry,0,Rare
Bittersweet Cave 1F,Nosepass,299,1,1,1,20,24,Magnet,0,Uncommon
Bittersweet Cave 1F,Smeargle,235,1,1,1,20,24,,0,Rare
Bittersweet Cave 1F,Sneasel,215,1,1,1,20,24,Razor Claw,0,Uncommon
Bittersweet Cave 2F,Aron,304,1,1,1,20,24,Hard Stone,0,Rare
Bittersweet Cave 2F,Bronzor,436,1,1,1,20,24,Metal Coat,0,Common
Bittersweet Cave 2F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon
Bittersweet Cave 2F,Golett,622,1,1,1,20,24,Light Clay,0,Rare
Bittersweet Cave 2F,Haunter,93,1,1,1,10,11,Spell Tag,0,Common
Bittersweet Cave 2F,Sneasel,215,1,1,1,20,24,Razor Claw,0,Uncommon
Bittersweet Cave 2F,Swinub,220,1,1,1,20,24,Aspear Berry,0,Common
Bittersweet Cave 2F,Torkoal,324,1,1,1,20,24,Heat Rock,0,Uncommon
Bittersweet Cave 3F,Duskull,355,1,1,1,20,24,Kasib Berry,0,Uncommon
Bittersweet Cave 3F,Farfetchd,83,1,1,1,20,24,Stick,0,Uncommon
Bittersweet Cave 3F,Gastly,92,1,1,1,10,11,,0,Common
Bittersweet Cave 3F,Growlithe,58,1,1,1,18,22,Rawst Berry,0,Common
Bittersweet Cave 3F,Sawk,539,1,1,1,20,24,Black Belt,0,Rare
Bittersweet Cave 3F,Sneasel,215,1,1,1,20,24,Razor Claw,0,Uncommon
Bittersweet Cave 3F,Teddiursa,216,1,1,1,20,24,Sitrus Berry,0,Common
Bittersweet Cave 3F,Throh,538,1,1,1,20,24,Black Belt,0,Rare
Bittersweet Cave 4F,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon
Bittersweet Cave 4F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon
Bittersweet Cave 4F,Duskull,355,1,1,1,20,24,Kasib Berry,0,Uncommon
Bittersweet Cave 4F,Ekans,23,1,1,1,20,24,,0,Common
Bittersweet Cave 4F,Golett,622,1,1,1,20,24,Light Clay,0,Rare
Bittersweet Cave 4F,Pancham,674,1,1,1,20,24,,0,Rare
Bittersweet Cave 4F,Swinub,220,1,1,1,20,24,Aspear Berry,0,Common
Bittersweet Cave 4F,Ursaring,217,1,1,1,20,24,Sitrus Berry,0,Common
Bond Bridge,Bellsprout,69,1,0,0,29,37,,0,Common
Bond Bridge,Glameow,431,0,0,1,29,37,Cheri Berry,1,Uncommon
Bond Bridge,Gloom,44,0,0,1,29,37,,0,Common
Bond Bridge,Meowth,52,1,0,1,29,37,,0,Common
Bond Bridge,Oddish,43,0,0,1,29,37,,0,Common
Bond Bridge,Pidgeotto,17,1,0,0,29,37,,0,Common
Bond Bridge,Pidgey,16,0,1,0,29,37,,0,Common
Bond Bridge,Psyduck,54,1,0,0,29,37,,0,Common
Bond Bridge,Venonat,48,1,0,1,29,37,,0,Common
Bond Bridge,Weepinbell,70,1,0,0,29,37,,0,Common
Breakers Beach,Buizel,418,1,1,1,25,29,Wacan Berry,0,Uncommon
Breakers Beach,Lotad,270,1,1,1,25,29,Mental Herb,0,Common
Breakers Beach,Pinsir,127,1,1,1,30,31,,0,Rare
Breakers Beach,Shellder,90,1,1,1,25,29,Shell Bell,0,Uncommon
Breakers Beach,Shuckle,213,1,1,1,25,29,Oran Berry,0,Rare
Breakers Beach,Slowpoke,79,1,1,1,25,29,Lagging Tail,0,Common
Breakers Beach,Wingull,278,1,1,1,25,29,,0,Common
Breezy Cave,Bronzor,436,1,1,1,17,21,,0,Common
Breezy Cave,Chansey,113,1,1,1,17,21,,0,Rare
Breezy Cave,Cubone,104,1,1,1,17,21,,0,Uncommon
Breezy Cave,Geodude,74,1,1,1,17,21,Spring Brush Yellow,0,Common
Breezy Cave,Happiny,440,1,1,1,17,21,,0,Rare
Breezy Cave,Kangaskhan,115,1,1,1,17,21,,0,Rare
Breezy Cave,Onix,95,1,1,1,17,21,,0,Common
Breezy Cave,Sandshrew,27,1,1,1,17,21,,0,Common
Breezy Falls,Abra,63,1,1,0,18,23,,0,Uncommon
Breezy Falls,Bunnelby,659,1,1,0,14,14,,0,Rare
Breezy Falls,Cleffa,173,1,1,0,18,23,,0,Rare
Breezy Falls,Diglett,50,1,1,0,18,23,,0,Common
Breezy Falls,Doduo,84,0,0,1,18,23,,0,Common
Breezy Falls,Elekid,239,0,0,1,18,23,,0,Rare
Breezy Falls,Exeggcute,102,1,1,0,18,23,,0,Common
Breezy Falls,Gastly,92,0,0,1,11,11,,0,Common
Breezy Falls,Magnemite,81,1,1,0,18,23,,0,Common
Breezy Falls,Mienfoo,619,1,1,0,23,23,,1,Rare
Breezy Falls,Munchlax,446,0,0,1,18,23,,0,Rare
Breezy Falls,Ponyta,77,0,0,1,18,23,,0,Uncommon
Breezy Falls,Riolu,447,0,0,1,18,23,,1,Rare
Breezy Falls,Snubbull,209,1,1,0,18,23,,0,Common
Breezy Falls,Stunky,434,0,0,1,18,23,,0,Uncommon
Breezy Falls,Taillow,276,0,0,1,18,23,,0,Common
Breezy Garden,Azurill,298,1,1,1,21,25,,0,Rare
Breezy Garden,Carbink,703,1,0,0,21,25,Light Clay,0,Rare
Breezy Garden,Clefairy,35,1,1,1,21,25,,0,Common
Breezy Garden,Jigglypuff,39,1,1,1,21,25,,0,Common
Breezy Garden,Marill,183,1,1,1,21,25,,0,Uncommon
Breezy Garden,Snubbull,209,1,1,1,21,25,,0,Common
Breezy Garden,Spritzee,682,0,1,0,21,25,,0,Rare
Breezy Garden,Swirlix,684,0,0,1,21,25,,0,Rare
Breezy Path,Abra,63,1,1,1,17,21,,0,Uncommon
Breezy Path,Bellsprout,69,1,1,1,17,21,Spring Brush Green,0,Common
Breezy Path,Exeggcute,102,1,1,1,17,21,,0,Common
Breezy Path,Kangaskhan,115,1,1,1,17,21,,0,Rare
Breezy Path,Marill,183,1,1,1,17,21,,0,Uncommon
Breezy Path,Munchlax,446,1,1,1,17,21,,0,Rare
Breezy Path,Pikachu,25,1,1,1,17,21,,0,Uncommon
Breezy Path,Togepi,175,1,1,1,21,21,,0,Rare
Breezy Town,Bellsprout,69,1,1,1,17,21,,0,Common
Breezy Town,Buneary,427,1,1,1,17,21,,0,Uncommon
Breezy Town,Exeggcute,102,1,1,1,17,21,,0,Common
Breezy Town,Larvesta,636,1,1,1,17,19,,0,Rare
Breezy Town,Marill,183,1,1,1,17,21,,0,Uncommon
Breezy Town,Pichu,172,1,1,1,17,21,,0,Rare
Breezy Town,Skitty,300,1,1,1,17,21,,0,Uncommon
Breezy Town,Zigzagoon,263,1,1,1,17,21,Spring Brush Red,0,Common
Bug Catching Area,Burmy,412,1,1,1,15,19,,0,Uncommon
Bug Catching Area,Caterpie,10,1,0,0,15,19,Pomeg Berry,0,Common
Bug Catching Area,Combee,415,1,0,0,15,19,Honey,0,Uncommon
Bug Catching Area,Cutiefly,742,1,1,1,15,19,,0,Rare
Bug Catching Area,Dwebble,557,0,1,0,15,19,Hard Stone,0,Rare
Bug Catching Area,Heracross,214,0,1,0,15,19,,0,Rare
Bug Catching Area,Illumise,314,0,0,1,15,19,,0,Uncommon
Bug Catching Area,Joltik,595,1,0,0,15,19,,0,Rare
Bug Catching Area,Kricketot,401,0,0,1,15,19,,0,Uncommon
Bug Catching Area,Larvesta,636,1,1,1,15,19,Charti Berry,0,Rare
Bug Catching Area,Ledyba,165,0,1,0,15,19,,0,Common
Bug Catching Area,Nincada,290,0,0,1,15,19,Soft Sand,0,Rare
Bug Catching Area,Paras,46,1,1,1,15,19,,0,Common
Bug Catching Area,Pinsir,127,0,0,1,15,19,,0,Rare
Bug Catching Area,Scatterbug,664,1,0,0,15,19,,0,Uncommon
Bug Catching Area,Scyther,123,1,0,0,15,19,Metal Coat,0,Rare
Bug Catching Area,Spinarak,167,0,0,1,15,19,,0,Common
Bug Catching Area,Venonat,48,1,0,0,15,19,,0,Common
Bug Catching Area,Volbeat,313,0,1,0,15,19,,0,Uncommon
Bug Catching Area,Weedle,13,0,1,0,15,19,Kelpsy Berry,0,Common
Bug Catching Area,Wurmple,265,0,0,1,15,19,Hondew Berry,0,Common
Bug Catching Area,Yanma,193,0,1,0,15,19,Wide Lens,0,Uncommon
Bug Catching Multiplayer Area,Burmy,412,1,1,1,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Caterpie,10,1,0,0,15,19,Pomeg Berry,0,Common
Bug Catching Multiplayer Area,Combee,415,1,0,0,15,19,Honey,0,Uncommon
Bug Catching Multiplayer Area,Cutiefly,742,1,1,1,15,19,,0,Rare
Bug Catching Multiplayer Area,Dwebble,557,0,1,0,15,19,Hard Stone,0,Rare
Bug Catching Multiplayer Area,Heracross,214,0,1,0,15,19,,0,Rare
Bug Catching Multiplayer Area,Illumise,314,0,0,1,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Joltik,595,1,0,0,15,19,,0,Rare
Bug Catching Multiplayer Area,Kricketot,401,0,0,1,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Larvesta,636,1,1,1,15,19,Charti Berry,0,Rare
Bug Catching Multiplayer Area,Ledyba,165,0,1,0,15,19,,0,Common
Bug Catching Multiplayer Area,Nincada,290,0,0,1,15,19,Soft Sand,0,Rare
Bug Catching Multiplayer Area,Paras,46,1,1,1,15,19,,0,Common
Bug Catching Multiplayer Area,Pinsir,127,0,0,1,15,19,,0,Rare
Bug Catching Multiplayer Area,Scatterbug,664,1,0,0,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Scyther,123,1,0,0,15,19,Metal Coat,0,Rare
Bug Catching Multiplayer Area,Spinarak,167,0,0,1,15,19,,0,Common
Bug Catching Multiplayer Area,Venonat,48,1,0,0,15,19,,0,Common
Bug Catching Multiplayer Area,Volbeat,313,0,1,0,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Weedle,13,0,1,0,15,19,Kelpsy Berry,0,Common
Bug Catching Multiplayer Area,Wurmple,265,0,0,1,15,19,Hondew Berry,0,Common
Bug Catching Multiplayer Area,Yanma,193,0,1,0,15,19,Wide Lens,0,Uncommon
Burned Tower Floor 2,Chatot,441,1,1,1,16,20,,0,Rare
Burned Tower Floor 2,Koffing,109,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Floor 2,Litwick,607,1,1,1,16,20,Smoke Ball,1,Rare
Burned Tower Floor 2,Meditite,307,1,1,1,21,24,TwistedSpoon,1,Rare
Burned Tower Floor 2,Rattata,19,1,1,1,16,20,,0,Common
Burned Tower Floor 2,Spinda,327,1,1,1,16,20,Chesto Berry,0,Uncommon
Burned Tower Floor 2,Weezing,110,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Floor 2,Zigzagoon,263,1,1,0,16,20,Oran Berry,0,Common
Burned Tower Floor 2,Zubat,41,0,0,1,16,20,,0,Common
Burned Tower Top Floor,Chatot,441,1,1,1,16,20,,0,Rare
Burned Tower Top Floor,Koffing,109,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Top Floor,Magmar,126,1,1,1,16,20,Magmarizer,0,Rare
Burned Tower Top Floor,Raticate,20,1,1,1,16,20,,0,Common
Burned Tower Top Floor,Rattata,19,1,1,0,16,20,,0,Common
Burned Tower Top Floor,Weezing,110,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Top Floor,Zigzagoon,263,1,1,1,16,20,Oran Berry,0,Common
Burned Tower Top Floor,Zubat,41,0,0,1,16,20,,0,Common
Burring Strait,Avalugg,713,1,1,1,25,31,,0,Rare
Burring Strait,Bergmite,712,1,1,1,25,31,,0,Rare
Burring Strait,Delibird,225,1,1,1,25,31,,0,Common
Burring Strait,Dewgong,87,1,1,1,25,31,,0,Common
Burring Strait,Seel,86,1,1,1,25,31,,0,Common
Burring Strait,Snorunt,361,1,1,1,25,31,,0,Uncommon
Burring Strait,Spheal,363,1,1,1,25,31,,0,Uncommon
Canyon Entrance,Fearow,22,0,1,0,12,42,Sharp Beak,0,Common
Canyon Entrance,Meowth,52,0,0,1,12,42,,0,Common
Canyon Entrance,Persian,53,0,0,1,20,35,,0,Common
Canyon Entrance,Phanpy,231,1,0,0,12,42,,0,Uncommon
Canyon Entrance,Psyduck,54,1,0,0,12,42,,0,Common
Canyon Entrance,Sentret,161,1,1,0,12,42,,0,Common
Canyon Entrance,Slowpoke,79,1,1,1,12,42,Lagging Tail,0,Common
Canyon Entrance,Spearow,21,1,0,1,12,42,Sharp Beak,0,Common
Cape Brink,Bellsprout,69,1,0,0,30,37,,0,Common
Cape Brink,Fearow,22,1,1,1,30,37,Sharp Beak,0,Common
Cape Brink,Gloom,44,0,0,1,30,37,Sun Stone,0,Common
Cape Brink,Meowth,52,1,0,1,30,37,Lagging Tail,0,Common
Cape Brink,Oddish,43,1,1,1,30,37,Absorb Bulb,0,Common
Cape Brink,Persian,53,1,0,1,30,37,Quick Claw,0,Common
Cape Brink,Spearow,21,1,0,0,30,37,Sharp Beak,0,Common
Cave Of Justice,Absol,359,1,1,1,26,30,,1,Rare
Cave Of Justice,Bronzor,436,1,1,1,26,30,,0,Uncommon
Cave Of Justice,Geodude,74,1,1,1,26,30,,0,Common
Cave Of Justice,Golbat,42,1,1,1,26,30,,0,Common
Cave Of Justice,Graveler,75,1,1,1,26,30,,0,Common
Cave Of Justice,Growlithe,58,1,1,1,26,30,,0,Uncommon
Cave Of Justice,Honedge,679,1,1,1,26,30,,1,Rare
Cave Of Justice,Zubat,41,1,1,1,26,30,,0,Common
Cerulean Cave 1F,Arbok,24,1,1,1,60,64,Poison Barb,0,Common
Cerulean Cave 1F,Ditto,132,1,1,1,60,64,,0,Uncommon
Cerulean Cave 1F,Electrode,101,0,1,0,60,64,,0,Common
Cerulean Cave 1F,Golbat,42,1,1,1,60,64,Soothe Bell,0,Common
Cerulean Cave 1F,Graveler,75,1,1,1,60,64,Everstone,0,Common
Cerulean Cave 1F,Kadabra,64,1,1,1,42,45,TwistedSpoon,0,Rare
Cerulean Cave 1F,Lickitung,108,1,1,1,60,64,Lagging Tail,0,Uncommon
Cerulean Cave 1F,Machoke,67,1,0,0,60,64,Black Belt,0,Common
Cerulean Cave 1F,Marowak,105,1,1,1,60,64,Thick Club,0,Rare
Cerulean Cave 1F,Parasect,47,1,1,1,60,64,,0,Common
Cerulean Cave 1F,Primeape,57,1,1,1,60,64,Black Belt,0,Common
Cerulean Cave 1F,Raichu,26,1,1,1,60,64,,0,Uncommon
Cerulean Cave 1F,Rhydon,112,1,1,0,60,64,Protector,0,Uncommon
Cerulean Cave 1F,Rhyhorn,111,1,1,1,60,64,,0,Uncommon
Cerulean Cave 1F,Sandslash,28,1,0,0,60,64,Soft Sand,0,Common
Cerulean Cave 1F,Venomoth,49,1,0,1,60,64,SilverPowder,0,Common
Cerulean Cave 1F,Wobbuffet,202,1,1,1,60,64,,0,Rare
Cerulean Cave 1F,Yamask,562,1,1,1,60,64,Spell Tag,0,Rare
Cerulean Cave 2F,Arbok,24,1,1,1,58,62,Poison Barb,0,Common
Cerulean Cave 2F,Chansey,113,1,1,1,55,62,Lucky Punch,0,Rare
Cerulean Cave 2F,Ditto,132,1,1,1,58,62,,0,Uncommon
Cerulean Cave 2F,Electrode,101,0,1,0,58,62,,0,Common
Cerulean Cave 2F,Golbat,42,1,1,1,58,62,,0,Common
Cerulean Cave 2F,Graveler,75,1,1,1,59,62,Everstone,0,Common
Cerulean Cave 2F,Kadabra,64,1,1,1,42,45,TwistedSpoon,0,Rare
Cerulean Cave 2F,Lickitung,108,1,1,1,60,62,Lagging Tail,0,Uncommon
Cerulean Cave 2F,Machoke,67,1,0,0,58,62,Black Belt,0,Common
Cerulean Cave 2F,Magneton,82,1,1,1,60,62,Magnet,0,Common
Cerulean Cave 2F,Parasect,47,1,1,1,58,62,,0,Common
Cerulean Cave 2F,Primeape,57,1,1,1,52,55,Black Belt,0,Common
Cerulean Cave 2F,Rhydon,112,1,1,0,60,62,Protector,0,Uncommon
Cerulean Cave 2F,Rhyhorn,111,1,1,1,58,61,,0,Uncommon
Cerulean Cave 2F,Sandslash,28,1,0,0,58,62,Soft Sand,0,Common
Cerulean Cave 2F,Venomoth,49,1,0,1,60,62,SilverPowder,0,Common
Cerulean Cave 2F,Wigglytuff,40,1,1,1,60,62,,0,Uncommon
Cerulean Cave B1F,Bronzor,436,1,1,1,60,62,Metal Coat,0,Uncommon
Cerulean Cave B1F,Ditto,132,1,1,1,39,59,,0,Uncommon
Cerulean Cave B1F,Electrode,101,0,1,0,60,62,,0,Common
Cerulean Cave B1F,Golbat,42,1,1,1,59,63,,0,Common
Cerulean Cave B1F,Graveler,75,1,1,1,59,63,Everstone,0,Common
Cerulean Cave B1F,Kadabra,64,1,1,1,42,45,TwistedSpoon,0,Rare
Cerulean Cave B1F,Machoke,67,1,0,0,59,63,Black Belt,0,Common
Cerulean Cave B1F,Magneton,82,1,1,1,58,62,Magnet,0,Common
Cerulean Cave B1F,Marowak,105,1,1,1,60,62,Thick Club,0,Rare
Cerulean Cave B1F,Parasect,47,1,1,1,59,63,,0,Common
Cerulean Cave B1F,Rhydon,112,1,1,0,60,63,Protector,0,Uncommon
Cerulean Cave B1F,Rhyhorn,111,1,1,1,58,61,,0,Uncommon
Cerulean Cave B1F,Sandslash,28,1,0,0,59,63,Soft Sand,0,Common
Cerulean Cave B1F,Skorupi,451,1,1,1,40,42,,0,Rare
Cerulean Cave B1F,Venomoth,49,1,1,1,59,63,SilverPowder,0,Common
Cerulean Cave B1F,Wobbuffet,202,1,1,1,60,60,,0,Rare
Cinnabar Mansion 1,Grimer,88,1,1,1,47,47,Black Sludge,0,Common
Cinnabar Mansion 1,Growlithe,58,1,1,1,42,42,Rawst Berry,0,Common
Cinnabar Mansion 1,Koffing,109,1,1,1,47,50,Smoke Ball,0,Common
Cinnabar Mansion 1,Magby,240,1,1,1,47,50,Magmarizer,0,Rare
Cinnabar Mansion 1,Muk,89,1,1,1,47,50,Black Sludge,0,Common
Cinnabar Mansion 1,Ponyta,77,1,1,1,48,48,,0,Uncommon
Cinnabar Mansion 1,Raticate,20,1,1,1,47,50,Sitrus Berry,0,Common
Cinnabar Mansion 1,Vulpix,37,1,1,1,47,50,Charcoal,0,Uncommon
Cinnabar Mansion 1,Weezing,110,1,1,1,47,50,Smoke Ball,0,Common
Cinnabar Mansion 2,Darumaka,554,1,1,1,26,26,Rawst Berry,1,Rare
Cinnabar Mansion 2,Grimer,88,1,1,1,47,47,Smoke Ball,0,Common
Cinnabar Mansion 2,Growlithe,58,1,1,1,42,42,Rawst Berry,0,Common
Cinnabar Mansion 2,Koffing,109,1,1,1,47,50,Smoke Ball,0,Common
Cinnabar Mansion 2,Muk,89,1,1,1,47,50,Black Sludge,0,Common
Cinnabar Mansion 2,Ponyta,77,1,1,1,47,48,,0,Uncommon
Cinnabar Mansion 2,Raticate,20,1,1,1,47,50,Sitrus Berry,0,Common
